EI,R,Weight,Thickness,PlyConfig
1213195393.7296607,30.0,0.1267141129369276,0.9159999999999999,"[1, 1, 4, 0, 0, 0, 1, 0, 0, 0, 1]"
1199455311.4408677,30.0,0.12576360224918026,0.9159999999999999,"[1, 1, 4, 0, 0, 0, 0, 1, 0, 0, 1]"
1187647255.2948632,30.0,0.12481309156143292,0.9159999999999999,"[1, 1, 4, 0, 0, 0, 0, 0, 1, 0, 1]"
1159895013.0743809,30.0,0.11993011804527505,0.8049999999999999,"[1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 1]"
1028733114.9608989,30.0,0.11916366751570379,0.9159999999999999,"[1, 1, 3, 1, 0, 0, 1, 0, 0, 0, 1]"
1008929348.4177486,30.0,0.11822656684814503,0.9159999999999999,"[1, 1, 3, 0, 0, 2, 0, 0, 0, 0, 1]"
1003184976.5261014,30.0,0.11726264614020908,0.9159999999999999,"[1, 1, 3, 1, 0, 0, 0, 0, 1, 0, 1]"
984727151.9435831,30.0,0.11631884046255608,0.9159999999999999,"[1, 1, 3, 0, 1, 0, 0, 0, 1, 0, 1]"
975432734.3056189,30.0,0.11237967262405121,0.8049999999999999,"[1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1]"
956974909.7231007,30.0,0.11143586694639822,0.8049999999999999,"[1, 1, 3, 0, 1, 0, 0, 0, 0, 0, 1]"
940061429.653594,30.0,0.11049206126874524,0.8049999999999999,"[1, 1, 3, 0, 0, 1, 0, 0, 0, 0, 1]"
924821015.8930666,30.0,0.10954825559109226,0.8049999999999999,"[1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 1]"
899809726.5142045,30.0,0.1076606442357863,0.8049999999999999,"[1, 1, 3, 0, 0, 0, 0, 0, 1, 0, 1]"
872638629.3430076,30.0,0.10281119577010028,0.694,"[1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1]"
726194996.782,30.0,0.10111434958306485,0.8049999999999999,"[1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1]"
719250937.5973258,30.0,0.10016383889531749,0.8049999999999999,"[1, 1, 2, 1, 0, 0, 0, 0, 1, 0, 1]"
701183707.4031379,30.0,0.09922673822775888,0.8049999999999999,"[1, 1, 2, 0, 1, 0, 0, 0, 1, 0, 1]"
692079840.4261289,30.0,0.09531439042963147,0.694,"[1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1]"
657457043.9768577,30.0,0.09344018909451426,0.694,"[1, 1, 2, 0, 0, 1, 0, 0, 0, 0, 1]"
642539139.5166045,30.0,0.09250308842695566,0.694,"[1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1]"
618057125.3636833,30.0,0.09062888709183846,0.694,"[1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1]"
608679338.5813634,30.0,0.08969178642427986,0.694,"[1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1]"
591459002.9519244,30.0,0.08581296367662421,0.583,"[1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1]"
465828379.06764907,30.0,0.08505992316724202,0.694,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1]"
452661670.6628455,30.0,0.08412282249968342,0.694,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1]"
441346364.9147279,30.0,0.08318572183212482,0.694,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1]"
431968578.13240796,30.0,0.08224862116456622,0.694,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]"
414748242.50296897,30.0,0.07836979841691057,0.583,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]"
397066057.0719893,30.0,0.07743940275944632,0.583,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
380863319.33682597,30.0,0.07650900710198208,0.583,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
366263341.915124,30.0,0.07557861144451784,0.583,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
342303082.9643592,30.0,0.07371782012958936,0.583,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1]"
333125153.47351146,30.0,0.07278742447212512,0.583,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
316269822.8637365,30.0,0.06893542176484704,0.472,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
193345545.37956393,30.0,0.06818908626555888,0.583,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]"
163156792.33020893,30.0,0.06633499996072476,0.583,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
160207356.93795142,30.0,0.06539789929316615,0.583,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
143352026.32817644,30.0,0.06154589658588808,0.472,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
126049375.74317542,30.0,0.060622205938518206,0.472,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
110194417.61900817,30.0,0.059698515291148335,0.472,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
95907817.76048507,30.0,0.058774824643778464,0.472,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
83298305.81901434,30.0,0.057851133996408594,0.472,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
63480915.67514852,30.0,0.05600375270166885,0.472,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
46985395.398060024,30.0,0.05217857003476825,0.361,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
